league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
eredivisie,218947,Pelle Clement,Sparta Rotterdam,Attacking Midfielder Left,False,26,18,1605.7,0.7287,0.1121,0.1682,0.3846,0.5247,espn_true_per90
eredivisie,342952,Sayfallah Ltaief,Sparta Rotterdam,Attacking Midfielder Right,False,9,7,508.3,2.3018,0.1771,0.0,0.2308,0.1661,espn_true_per90
eredivisie,356979,Nökkvi Thórisson,Telstar,Substitute,False,17,7,450.5,3.1965,0.1998,0.1998,0.5,0.1472,espn_true_per90
eredivisie,389354,Ayoub Oufkir,AZ Alkmaar,Substitute,False,24,7,920.1,2.9343,0.0978,0.1956,0.4333,0.3007,espn_true_per90
eredivisie,300260,Teo Quintero,Sparta Rotterdam,Substitute,False,31,27,2468.5,1.0209,0.0365,0.0365,0.2143,0.8067,espn_true_per90
eredivisie,330425,Tom De Graaff,PEC Zwolle,Goalkeeper,True,31,31,2790.0,0.0,0.0,0.0,,0.9118,espn_true_per90
eredivisie,320920,Anselmo Garcia MacNulty,PEC Zwolle,Center Left Defender,False,32,32,2844.3,0.4746,0.0633,0.0,0.3333,0.9295,espn_true_per90
eredivisie,271210,Simon Graves,PEC Zwolle,Center Right Defender,False,32,30,2681.1,0.3021,0.0,0.0671,0.1111,0.8762,espn_true_per90
eredivisie,224786,Sherel Floranus,PEC Zwolle,Left Back,False,32,32,2798.5,0.2251,0.0322,0.0965,0.4286,0.9146,espn_true_per90
eredivisie,333618,Olivier Aertssen,PEC Zwolle,Right Back,False,28,19,1859.4,0.4356,0.0,0.0968,0.1111,0.6077,espn_true_per90
eredivisie,272329,Thijs Oosting,PEC Zwolle,Attacking Midfielder,False,34,34,2641.7,1.7716,0.2044,0.1022,0.4808,0.8633,espn_true_per90
eredivisie,227441,Jamiro Monteiro,PEC Zwolle,Left Midfielder,False,21,17,1273.0,1.414,0.1414,0.2121,0.15,0.416,espn_true_per90
eredivisie,156146,Ryan Thomas,PEC Zwolle,Right Midfielder,False,27,27,2151.1,0.5857,0.0418,0.0418,0.1429,0.703,espn_true_per90
